"fen","material_cmp","castle_white_kingside","castle_white_queenside","castle_black_kingside","castle_black_queenside"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"rnbqkbnr/1pp1pppp/p7/8/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4","-1","1","1","1","1"
"rnbqk2r/pp2b1pp/2pp1n2/4pp2/2P5/1PN1P1P1/P1QP1PBP/R1B1K1NR b KQkq - 1 7","0","1","1","1","1"
"3r1rk1/p4ppp/2p5/3B4/2P5/1P1q2PP/P4P2/3R1RK1 w - - 0 21","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r1bq1rk1/pppp1ppp/5n2/2b1p3/3nP3/1B3Q1N/PPPP1PPP/RNB1K2R w KQ - 10 7","0","1","1","0","0"
"r1b1k1nr/1pqp1pb1/p3p1p1/2pN3p/P1P4P/3B2P1/1P1PQP2/R1B1K2R b KQkq - 3 12","-1","1","1","1","1"
"6k1/6p1/pR6/3pP3/3P1Np1/6K1/P1r4P/5q2 w - - 0 41","-1","0","0","0","0"
"2kr2nr/1p5p/p4pp1/3PB3/8/2R5/PP3PPP/4R1K1 b - - 0 18","1","0","0","0","0"
"r1b4r/4k2p/p3pnp1/1p1p1PN1/1PnP4/P5N1/6PP/RB2R1K1 b - - 0 24","0","0","0","0","0"
"r1bqkbnr/ppp1pppp/2np4/8/4P3/5N1P/PPPP1PP1/RNBQKB1R b KQkq - 0 3","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r4rk1/p7/1p1Rbq1p/2p1npp1/2P1p3/1NP1P1P1/P1Q1BPP1/4R1K1 w - - 2 21","0","0","0","0","0"
"8/8/6kp/p5p1/1bPB1p2/1P6/P3K2P/8 w - - 2 32","0","0","0","0","0"
"r4k1r/p4ppp/3p1n2/2p1R1B1/2P3b1/5N2/PP3PPP/2KR4 w - - 0 18","0","0","0","0","0"
"r2qkb1r/1b1n1ppp/p2ppn2/1p6/3NP3/P1N2P2/1PP1B1PP/R1BQ1RK1 w kq - 0 10","0","0","0","1","1"
"8/8/3p2kp/3Pb1p1/4P1P1/2r1BK1P/8/5R2 b - - 6 47","1","0","0","0","0"
"5r1k/p1p3pp/1p6/4p2q/4P3/4Q1K1/PPP2r2/2R3R1 b - - 3 30","-1","0","0","0","0"
"r1bqkbnr/pppp1ppp/2n5/3Np3/8/1P3N2/PBPPPPPP/R2QKB1R b KQkq - 6 5","0","1","1","1","1"
"1r3rk1/2pq1ppp/2R1pn2/p2p1b2/P2P1P2/1B2P3/1P1N2PP/3Q1RK1 w - - 1 20","0","0","0","0","0"
"rn2k2r/1b1q2p1/3P1p2/2p1pP1p/p3P2P/PpP1B1N1/1Q6/2KR2NR w kq - 3 27","1","0","0","1","1"
"8/pp6/2p2pN1/8/4P3/1Pk2K1p/P1r4P/3R4 w - - 1 33","1","0","0","0","0"
"r1b1k2r/3n1ppp/1pN2n2/3N4/B3pq2/8/PPP2PPP/R2QK2R b KQkq - 1 13","1","1","1","1","1"
"r3k2r/pp3ppp/2nq4/1Bbp2B1/3Nn1b1/2N5/PPP2PPP/R2QR1K1 w kq - 12 12","0","0","0","1","1"
"r1b3k1/p2pr2p/n1p2ppB/1p2P3/3P4/2P5/PP3PPP/RN2KBNR b KQ - 0 14","1","1","1","0","0"
"rn1qk2r/ppp1ppb1/5npp/5bB1/2PPp3/2N4P/PP2NPP1/R2QKB1R w KQkq - 0 8","-1","1","1","1","1"
"rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"r1b1k1nr/5p1p/p1P5/1p1B4/2p1PQ2/8/P2B1PPP/b3K1NR b Kkq - 1 17","1","1","0","1","1"
"r1b1k1nr/1p1p3p/6p1/4pp2/p1P5/2q1P1P1/PBnNKP1P/1R1Q1B1R b kq - 1 15","-1","0","0","1","1"
"r3kb1r/pp3ppp/3ppqb1/8/2BpP1P1/3P1N1P/PPP1QP2/R3K2R b KQkq - 2 12","0","1","1","1","1"
"4r1k1/5r1p/p4p2/2PKp3/1P1N4/P6b/8/R3R3 b - - 0 33","-1","0","0","0","0"
"7b/1kp5/3q1n2/4pN2/6n1/3P4/4KP2/1r4R1 b - - 3 32","-1","0","0","0","0"
"rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2","0","1","1","1","1"
"5r1k/2r1b1pp/1pnq1p2/4pP2/1BBp4/P4P2/2P1Q1PP/2R2RK1 b - - 0 25","0","0","0","0","0"
"rnbqkb1r/ppppn2p/5p2/4p1p1/1P2P3/B4Q2/P1PP1PPP/RN2KBNR b KQkq - 2 5","0","1","1","1","1"
"r1bqk2r/pp1nppb1/2pp1n1p/6p1/2PP4/1PN1PN1P/PB3PP1/R2QKB1R b KQkq - 0 8","0","1","1","1","1"
"rn2k1nr/pp2bpp1/2pp1q1p/4p3/2B1P1b1/2NPBN2/PPP2PPP/R2QR1K1 b kq - 4 8","0","0","0","1","1"
"7r/5k2/p2pb1p1/1ppN4/2P2P1P/1P4P1/P5K1/4R3 b - - 1 31","1","0","0","0","0"
"rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3","0","1","1","1","1"
"rnb1kbnr/ppp1pppp/8/q7/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 4","0","1","1","1","1"
"4r1k1/1p2Prp1/p5pp/8/3B1b2/1P6/P5PP/4RRK1 w - - 3 30","0","0","0","0","0"
"r1bqkbnr/ppp1pppp/2n5/8/8/2N5/PPPPBPPP/R1BQK1NR w KQkq - 4 5","0","1","1","1","1"
"rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2","0","1","1","1","1"
"r1bqr1k1/1pp2pb1/3p2pp/pN1P4/P1P1B3/8/R4PPP/3Q1RK1 w - - 1 19","-1","0","0","0","0"
"r5k1/1p3pbp/1qr1p1p1/1p1pPnN1/5P2/P7/1P1B2PP/R2Q1R1K w - - 5 20","-1","0","0","0","0"
"4k2r/1pp1bp2/3pbp1p/8/1p6/1P2QN2/q1PKPPPP/rN1R1B1R w k - 7 17","1","0","0","1","0"
"r1bq1rk1/pppp1ppp/2n2n2/2b1p3/4P3/3PBN2/PPP1BPPP/RN1Q1RK1 b - - 6 6","0","0","0","0","0"
"r3k1nr/1pp1nppp/1b6/pP2pb2/P1P5/6PP/1B2PP2/RN1qKBNR w KQkq - 0 12","-1","1","1","1","1"
"rn2kb1r/ppp1pppp/8/q4b2/3Pn3/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 5 7","0","1","1","1","1"
"rnbqkbnr/pp1p1ppp/4p3/2p5/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3","0","1","1","1","1"
"1r2kb1r/1p1bpppp/p2p1q1n/3N4/4P3/3P4/P1N2PPP/2BQK2R b Kk - 5 15","-1","1","0","1","0"
"r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3","0","1","1","1","1"
"8/8/1p2kn2/7p/1PP2K2/P2N3P/8/8 b - - 7 44","1","0","0","0","0"
"rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3","0","1","1","1","1"
"rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2","0","1","1","1","1"
"2rqk2r/p2n1ppp/1p2p3/5b2/1PQP4/2N1P1P1/P4PP1/2R1K1NR w Kk - 1 15","1","1","0","1","0"
"r2qr1k1/1p3pb1/p1bp1np1/4p1Pp/4P2P/1BN1BP2/PPPQ4/2KR3R b - - 0 16","0","0","0","0","0"
"r3r2k/2p3pp/p3B3/1p2R3/1P6/P7/2P2PPP/R5K1 w - - 1 22","1","0","0","0","0"
"5r2/pk2R2p/1p3r2/8/1P6/P5P1/R4PKP/8 b - - 4 36","1","0","0","0","0"
"8/7p/p3p1p1/1p3pk1/1Pp1b3/P3P1K1/8/3B4 b - - 3 43","-1","0","0","0","0"
"3B4/8/5k1n/6pp/P2KBp2/7P/1P3R2/8 b - - 2 39","1","0","0","0","0"
"1r1q1k1r/p1p3pp/2Q2b2/4p3/3p4/3P3P/PPP2PP1/R4RK1 w - - 3 17","-1","0","0","0","0"
"rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"rnbk1b1r/ppp2ppp/5n2/4p3/2P5/2N2N2/PP2PPPP/R1B1KB1R b KQ - 1 6","0","1","1","0","0"
